start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.713,30.0,30.228,2.173,-17.628,17.761,0.592,1.9353
99.711,-30.0,-30.454,-0.286,-15.653,15.656,0.5219,1.9795
104.707,30.0,29.408,8.105,-28.728,29.849,0.995,1.9326
104.711,-30.0,-30.47,-0.017,-15.656,15.656,0.5219,1.9778
109.711,30.0,29.034,23.817,-57.103,61.871,2.0624,1.9025
109.714,-30.0,-30.494,0.257,-15.66,15.662,0.5221,1.9744
113.711,30.0,29.043,32.65,-68.71,76.073,2.5358,1.8879
113.713,-30.0,-30.513,0.483,-15.667,15.674,0.5225,1.9729
119.707,30.0,29.048,27.491,-53.251,59.929,1.9976,1.9009
119.714,-30.0,-30.54,0.84,-15.681,15.703,0.5234,1.9683
124.707,30.0,29.7,12.335,-28.165,30.748,1.0249,1.9274
124.71,-30.0,-30.562,1.159,-15.692,15.735,0.5245,1.9668
