start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.713,30.0,30.193,7.137,-15.649,17.2,0.5733,1.9547
99.712,-30.0,-30.445,-1.46,-15.268,15.338,0.5113,1.9817
104.707,30.0,29.283,14.718,-26.675,30.466,1.0155,1.9373
104.714,-30.0,-30.47,-0.145,-15.378,15.379,0.5126,1.9775
109.711,30.0,29.039,33.55,-54.834,64.283,2.1428,1.9049
109.715,-30.0,-30.494,1.174,-15.312,15.357,0.5119,1.9758
113.711,30.0,29.051,44.107,-65.672,79.109,2.637,1.893
113.714,-30.0,-30.513,2.214,-15.134,15.295,0.5098,1.9727
119.707,30.0,29.038,38.342,-48.503,61.828,2.0609,1.9064
119.706,-30.0,-30.553,3.719,-14.661,15.125,0.5042,1.9712
124.714,30.0,29.638,20.168,-21.211,29.268,0.9756,1.9333
124.712,-30.0,-30.562,4.898,-14.101,14.928,0.4976,1.97
