start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.71,30.0,30.332,1.208,-15.272,15.32,0.5107,1.9435
99.709,-30.0,-30.468,0.029,-12.177,12.177,0.4059,1.9866
104.707,30.0,29.495,7.386,-27.274,28.256,0.9419,1.9451
104.712,-30.0,-30.459,0.012,-12.123,12.123,0.4041,1.9842
109.707,30.0,29.037,23.901,-57.469,62.241,2.0747,1.9126
109.714,-30.0,-30.459,-0.008,-12.159,12.159,0.4053,1.9801
113.711,30.0,29.038,32.575,-68.564,75.909,2.5303,1.8977
113.707,-30.0,-30.468,-0.01,-12.248,12.248,0.4083,1.9793
119.712,30.0,29.055,27.585,-53.144,59.877,1.9959,1.9113
119.712,-30.0,-30.459,0.04,-12.499,12.499,0.4166,1.978
124.707,30.0,29.904,12.712,-28.322,31.044,1.0348,1.9349
124.713,-30.0,-30.459,0.152,-12.785,12.785,0.4262,1.973
