start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
-179.715,30.0,30.017,-0.098,-13.493,13.494,0.4498,1.907
179.708,-30.0,-30.965,-0.944,-11.65,11.689,0.3896,1.9477
-165.289,30.0,30.179,-0.849,-13.82,13.846,0.4615,1.9395
-165.294,-30.0,-30.966,-0.045,-11.91,11.91,0.397,1.9409
-150.287,30.0,30.288,-1.291,-14.107,14.166,0.4722,1.9317
-150.292,-30.0,-30.961,0.674,-11.857,11.876,0.3959,1.9338
-135.29,30.0,30.367,-0.629,-13.831,13.846,0.4615,1.9266
-135.286,-30.0,-30.954,-0.492,-12.85,12.86,0.4287,1.9255
-120.286,30.0,30.438,-0.243,-13.582,13.584,0.4528,1.9174
-120.286,-30.0,-30.74,-1.401,-13.845,13.916,0.4639,1.9187
-105.287,30.0,30.512,0.005,-13.493,13.493,0.4498,1.9126
-105.286,-30.0,-30.634,-0.847,-13.847,13.873,0.4624,1.9109
-90.287,30.0,30.577,0.303,-13.607,13.61,0.4537,1.9056
-89.713,-30.0,-30.577,-0.303,-13.607,13.61,0.4537,1.9048
-74.714,30.0,30.634,0.847,-13.847,13.873,0.4624,1.9099
-74.712,-30.0,-30.512,-0.005,-13.493,13.493,0.4498,1.9114
-59.714,30.0,30.74,1.401,-13.845,13.916,0.4639,1.9164
-59.712,-30.0,-30.438,0.243,-13.582,13.584,0.4528,1.9198
-44.707,30.0,30.971,0.492,-12.842,12.851,0.4284,1.9261
-44.708,-30.0,-30.367,0.629,-13.831,13.846,0.4615,1.9247
-29.707,30.0,30.961,-0.674,-11.857,11.876,0.3959,1.9345
-29.712,-30.0,-30.288,1.291,-14.107,14.166,0.4722,1.9311
-14.713,30.0,30.949,0.045,-11.917,11.917,0.3972,1.94
-14.709,-30.0,-30.18,0.845,-13.818,13.844,0.4615,1.9379
0.29,30.0,30.948,0.943,-11.659,11.697,0.3899,1.949
0.292,-30.0,-30.008,0.066,-13.479,13.479,0.4493,1.9449
15.293,30.0,30.795,-0.263,-12.6,12.603,0.4201,1.9543
15.287,-30.0,-29.825,0.008,-13.282,13.282,0.4427,1.9525
30.289,30.0,30.642,-1.635,-14.018,14.113,0.4704,1.9587
30.291,-30.0,-29.868,-0.161,-13.444,13.445,0.4482,1.9567
45.293,30.0,30.605,-0.818,-13.833,13.857,0.4619,1.9673
45.291,-30.0,-30.081,-1.598,-14.008,14.099,0.47,1.9475
60.291,30.0,30.54,-0.306,-13.607,13.61,0.4537,1.9737
60.29,-30.0,-30.245,-1.294,-14.112,14.171,0.4724,1.9459
75.286,30.0,30.457,-0.004,-13.506,13.506,0.4502,1.9814
75.294,-30.0,-30.315,-0.632,-13.839,13.854,0.4618,1.9541
89.711,30.0,30.385,0.242,-13.593,13.595,0.4532,1.9873
90.29,-30.0,-30.392,-0.242,-13.588,13.59,0.453,1.9605
104.712,30.0,30.311,0.633,-13.843,13.857,0.4619,1.977
105.287,-30.0,-30.46,0.014,-13.507,13.507,0.4502,1.95
119.709,30.0,30.245,1.294,-14.111,14.171,0.4724,1.9712
120.285,-30.0,-30.531,0.32,-13.619,13.623,0.4541,1.9441
134.707,30.0,30.081,1.598,-14.008,14.099,0.47,1.9647
134.71,-30.0,-30.605,0.818,-13.833,13.857,0.4619,1.9665
149.714,30.0,29.869,0.161,-13.444,13.445,0.4482,1.9437
149.711,-30.0,-30.642,1.635,-14.018,14.113,0.4704,1.9585
164.707,30.0,29.824,-0.009,-13.281,13.281,0.4427,1.9499
164.709,-30.0,-30.795,0.263,-12.6,12.603,0.4201,1.9535
