start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
99.707,30.0,30.306,-3.111,-5.93,6.697,0.2232,1.9676
99.711,-30.0,-30.348,0.773,-4.543,4.608,0.1536,1.9772
104.707,30.0,30.295,-3.524,-6.517,7.409,0.247,1.9654
104.709,-30.0,-30.366,0.07,-4.463,4.464,0.1488,1.981
109.714,30.0,30.282,-3.832,-7.169,8.129,0.271,1.9685
109.714,-30.0,-30.373,-0.634,-4.509,4.553,0.1518,1.9777
113.707,30.0,30.277,-3.993,-7.72,8.691,0.2897,1.9647
113.71,-30.0,-30.389,-1.183,-4.631,4.78,0.1593,1.9852
119.714,30.0,30.264,-4.09,-8.58,9.505,0.3168,1.9708
120.29,-30.0,-30.406,-2.029,-4.994,5.391,0.1797,1.9575
124.706,30.0,30.259,-4.034,-9.295,10.132,0.3377,1.9724
125.288,-30.0,-30.411,-2.602,-5.395,5.99,0.1997,1.9581
