time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,heading_error_rad,command_linear_mps,command_angular_rps,scored_line_sample
38.46,-1,0,0,-1.7e-05,1.999234,5.6e-05,-0.000112,2.00167,-0.000921,0.0,2.0,4.31,2.0,nan,nan,0.0,0.0,0
38.47,0,1,1,-1.7e-05,1.999234,5.6e-05,-0.000112,2.00167,-0.000921,0.0,2.0,4.31,2.0,nan,0.104461,0.0,0.0,0
38.48,0,1,1,-1.7e-05,1.999234,5.6e-05,0.001232,1.999144,-0.001791,0.0,2.0,4.31,2.0,nan,0.107858,0.0,0.02,0
38.49,0,1,1,-1.7e-05,1.999234,5.6e-05,0.001232,1.999144,-0.001791,0.0,2.0,4.31,2.0,nan,0.107858,0.0,0.02,0
38.5,0,1,1,-1.7e-05,1.999234,5.6e-05,0.001232,1.999138,-0.000129,0.0,2.0,4.31,2.0,nan,0.1062,0.0,0.04,0
38.51,0,1,1,-1.7e-05,1.999233,0.000131,0.001232,1.999138,-0.000129,0.0,2.0,4.31,2.0,nan,0.1062,0.0,0.04,0
38.52,0,1,1,-1.7e-05,1.999229,0.00034,0.001232,1.999133,-0.001995,0.0,2.0,4.31,2.0,nan,0.1062,0.0,0.06,0
38.53,0,1,1,-1.7e-05,1.999223,0.000636,0.001232,1.999133,-0.001995,0.0,2.0,4.31,2.0,nan,0.108072,0.0,0.06,0
38.54,0,1,1,-1.7e-05,1.999214,0.001068,0.001231,1.999128,0.002218,0.0,2.0,4.31,2.0,nan,0.103864,0.0,0.08,0
38.55,0,1,1,-1.7e-05,1.999203,0.001585,0.001231,1.999128,0.002218,0.0,2.0,4.31,2.0,nan,0.103864,0.0,0.08,0
38.56,0,1,1,-1.7e-05,1.999189,0.002238,7.4e-05,1.998575,0.002594,0.0,2.0,4.31,2.0,nan,0.104041,0.0,0.1,0
38.57,0,1,1,-1.7e-05,1.999174,0.002977,7.4e-05,1.998575,0.002594,0.0,2.0,4.31,2.0,nan,0.104041,0.0,0.1,0
38.58,0,1,1,-1.7e-05,1.999155,0.003852,7.4e-05,1.998557,0.002853,0.0,2.0,4.31,2.0,nan,0.1038,0.0,0.12,0
38.59,0,1,1,-1.7e-05,1.999135,0.004812,7.4e-05,1.998557,0.002853,0.0,2.0,4.31,2.0,nan,0.1038,0.0,0.12,0
38.6,0,1,1,-1.7e-05,1.999112,0.005908,7.4e-05,1.998539,0.008478,0.0,2.0,4.31,2.0,nan,0.098193,0.0,0.14,0
38.61,0,1,1,-1.7e-05,1.999087,0.00709,7.4e-05,1.998539,0.008478,0.0,2.0,4.31,2.0,nan,0.098193,0.0,0.14,0
38.62,0,1,1,-1.7e-05,1.99906,0.008408,7.4e-05,1.998521,0.006424,0.0,2.0,4.31,2.0,nan,0.100265,0.0,0.16,0
38.63,0,1,1,-1.7e-05,1.99903,0.009811,7.4e-05,1.998521,0.006424,0.0,2.0,4.31,2.0,nan,0.100265,0.0,0.16,0
38.64,0,1,1,-1.7e-05,1.998997,0.01135,0.000562,2.000118,0.009211,0.0,2.0,4.31,2.0,nan,0.100265,0.0,0.16,0
38.65,0,1,1,-1.7e-05,1.998963,0.012975,0.000562,2.000118,0.009211,0.0,2.0,4.31,2.0,nan,0.095881,0.0,0.18,0
38.66,0,1,1,-1.6e-05,1.998926,0.014736,0.000562,2.000136,0.01178,0.0,2.0,4.31,2.0,nan,0.093294,0.0,0.2,0
38.67,0,1,1,-1.6e-05,1.998887,0.016582,0.000562,2.000136,0.01178,0.0,2.0,4.31,2.0,nan,0.093294,0.0,0.2,0
38.68,0,1,1,-1.6e-05,1.998845,0.018564,0.000561,2.000154,0.017741,0.0,2.0,4.31,2.0,nan,0.087315,0.0,0.22,0
38.69,0,1,1,-1.6e-05,1.998802,0.020632,0.000561,2.000154,0.017741,0.0,2.0,4.31,2.0,nan,0.087315,0.0,0.22,0
38.7,0,1,1,-1.6e-05,1.998755,0.022836,0.000561,2.000172,0.020002,0.0,2.0,4.31,2.0,nan,0.085036,0.0,0.22,0
38.71,0,1,1,-1.5e-05,1.998707,0.025125,0.000561,2.000172,0.020002,0.0,2.0,4.31,2.0,nan,0.085036,0.0,0.24,0
38.72,0,1,1,-1.5e-05,1.998655,0.027551,0.000625,1.999252,0.026523,0.0,2.0,4.31,2.0,nan,0.079436,0.0,0.26,0
38.73,0,1,1,-1.4e-05,1.998602,0.030061,0.000625,1.999252,0.026523,0.0,2.0,4.31,2.0,nan,0.079436,0.0,0.26,0
38.74,0,1,1,-1.4e-05,1.998546,0.032708,0.000625,1.999249,0.030278,0.0,2.0,4.31,2.0,nan,0.075684,0.0,0.28,0
38.75,0,1,1,-1.3e-05,1.998489,0.03544,0.000625,1.999249,0.030278,0.0,2.0,4.31,2.0,nan,0.075684,0.0,0.28,0
38.76,0,1,1,-1.3e-05,1.998428,0.038309,0.000625,1.999246,0.040122,0.0,2.0,4.31,2.0,nan,0.065842,0.0,0.3,0
38.77,0,1,1,-1.2e-05,1.998366,0.041262,0.000625,1.999246,0.040122,0.0,2.0,4.31,2.0,nan,0.065842,0.0,0.3,0
38.78,0,1,1,-1.1e-05,1.9983,0.044352,0.000625,1.999243,0.041328,0.0,2.0,4.31,2.0,nan,0.064639,0.0,0.32,0
38.79,0,1,1,-1e-05,1.998233,0.047526,0.000625,1.999243,0.041328,0.0,2.0,4.31,2.0,nan,0.064639,0.0,0.32,0
38.8,0,1,1,-9e-06,1.998163,0.050839,0.000874,2.000325,0.049475,0.0,2.0,4.31,2.0,nan,0.05541,0.0,0.32,0
38.81,0,1,1,-8e-06,1.998091,0.054234,0.000874,2.000325,0.049475,0.0,2.0,4.31,2.0,nan,0.05541,0.0,0.320651,0
38.82,0,1,1,-7e-06,1.998017,0.057768,0.000873,2.000346,0.055621,0.0,2.0,4.31,2.0,nan,0.049243,0.0,0.300651,0
38.83,0,1,1,-6e-06,1.99794,0.061327,0.000873,2.000346,0.055621,0.0,2.0,4.31,2.0,nan,0.049243,0.0,0.300651,0
38.84,0,1,1,-4e-06,1.997863,0.064887,0.000871,2.000367,0.061717,0.0,2.0,4.31,2.0,nan,0.043126,0.0,0.280651,0
38.85,0,1,1,-2e-06,1.997785,0.068382,0.000871,2.000367,0.061717,0.0,2.0,4.31,2.0,nan,0.043126,0.0,0.280651,0
38.86,0,1,1,-1e-06,1.997711,0.071738,0.00087,2.000389,0.068829,0.0,2.0,4.31,2.0,nan,0.035993,0.0,0.260651,0
38.87,0,1,1,1e-06,1.997638,0.075011,0.00087,2.000389,0.068829,0.0,2.0,4.31,2.0,nan,0.035993,0.0,0.260651,0
38.88,0,1,1,3e-06,1.997569,0.078145,0.000868,2.000411,0.075446,0.0,2.0,4.31,2.0,nan,0.029353,0.0,0.240651,0
38.89,0,1,1,5e-06,1.997501,0.081194,0.000868,2.000411,0.075446,0.0,2.0,4.31,2.0,nan,0.029353,0.0,0.240651,0
