time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,scored_line_sample
19.56,-1,0,6,-1.7060229889565015e-05,1.999234967804745,2.3725525788205818e-05,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.57,-1,0,6,-1.7060273899804912e-05,1.9992336301427012,-3.710400617138663e-05,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.58,-1,0,6,-1.706057460171273e-05,1.9992296543402244,-0.00019040357380198595,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.59,-1,0,6,-1.70614462743357e-05,1.9992241340059205,-0.00040726797639956835,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.6,-1,0,6,-1.7063774860548442e-05,1.9992155635822535,-0.0007349897502579904,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.61,-1,0,6,-1.7068171113243658e-05,1.9992051431062372,-0.0011337033152421991,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.62,-1,0,6,-1.7076192496356946e-05,1.9991917181199486,-0.0016434507992988431,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.63,-1,0,6,-1.7088735429937607e-05,1.999176400468157,-0.0022240173389794214,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.64,-1,0,6,-1.7108003148802453e-05,1.999158118080268,-0.0029157868142215882,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.65,-1,0,6,-1.7135252584399296e-05,1.9991379062736125,-0.0036782101775975538,0.0015949089262229108,1.9982440227400016,-0.003718655174085761,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.66,-1,0,6,-1.7173231207534556e-05,1.999114763755853,-0.0045519980042096255,0.0015949048427793466,1.9982331555922725,-0.00267086652772397,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.67,-1,0,6,-1.7223677614919275e-05,1.9990896609068909,-0.005496282100515621,0.0015949048427793466,1.9982331555922725,-0.00267086652772397,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.68,-1,0,6,-1.7289747933024735e-05,1.9990616557211767,-0.006552084775401555,0.0015948741031551587,1.9982222208741962,-0.0034937512750112805,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.69,-1,0,6,-1.7373804862330644e-05,1.9990316650803985,-0.00767823360377934,0.0015948741031551587,1.9982222208741962,-0.0034937512750112805,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.7,-1,0,6,-1.7479267792830377e-05,1.9989987949767178,-0.008916047831263154,0.0015948253956421924,1.9982112285355909,-0.007951941862193388,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.71,-1,0,6,-1.7609263473494785e-05,1.9989639199918632,-0.010224065519221021,0.0015948253956421924,1.9982112285355909,-0.007951941862193388,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.72,-1,0,6,-1.7767342072483316e-05,1.9989261831220186,-0.011643888293042824,0.0018472700158229981,1.9997131537528927,-0.011167871065977499,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.73,-1,0,6,-1.7957509836907803e-05,1.9988864275133094,-0.01313377914620023,0.0018472700158229981,1.9997131537528927,-0.011167871065977499,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.74,-1,0,6,-1.818334874370553e-05,1.9988438225589658,-0.014735607841295963,0.0018475107505702049,1.9997362376104306,-0.014013848292807827,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.75,-1,0,6,-1.8449815663679203e-05,1.9987991904122782,-0.016407376405990094,0.0018475107505702049,1.9997362376104306,-0.014013848292807827,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.76,-1,0,6,-1.8760477211166027e-05,1.9987517167261535,-0.01819120887941031,0.0018477955747270138,1.9997595442678804,-0.015957722964157206,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.77,-1,0,6,-1.9121250353304475e-05,1.9987022126053309,-0.020044860019096746,0.0018477955747270138,1.9997595442678804,-0.015957722964157206,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.78,-1,0,6,-1.9535706496043304e-05,1.9986498703649804,-0.022010694719412388,0.0018480920323301958,1.99978301600188,-0.01857886812690657,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
19.79,-1,0,6,-2.0010655899849183e-05,1.9985954994436363,-0.02404623370544252,0.0018480920323301958,1.99978301600188,-0.01857886812690657,0.000688372170715961,1.9997232963377363,-0.9425,1.65,nan,0
