time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,heading_error_rad,command_linear_mps,command_angular_rps,scored_line_sample
40.57,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.58,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.59,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.6,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.61,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.62,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.63,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.64,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.65,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.66,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.67,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.002774762602669657,2.000794522912313,-0.001672274224628012,0.0,2.0,0.0,6.51,nan,1.5696938384168548,0.0,0.0,0
40.68,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.00277472428252273,2.000820875164958,-0.0018870577959235746,0.0,2.0,0.0,6.51,nan,1.5699086603082975,0.0,0.02,0
40.69,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.00277472428252273,2.000820875164958,-0.0018870577959235746,0.0,2.0,0.0,6.51,nan,1.5699086603082975,0.0,0.02,0
40.7,0,1,1,-1.7060779467392706e-05,1.999234217506149,5.5728561806390545e-05,-0.0027746525820891016,2.0008475162734736,-0.0012997750770824548,0.0,2.0,0.0,6.51,nan,1.56932144928989,0.0,0.04,0
40.71,0,1,1,-1.7060879358266057e-05,1.9992328669677117,0.0001344269258409276,-0.0027746525820891016,2.0008475162734736,-0.0012997750770824548,0.0,2.0,0.0,6.51,nan,1.56932144928989,0.0,0.04,0
40.72,0,1,1,-1.706079179619735e-05,1.9992285375837644,0.0003440180829255926,0.0013408300380770735,1.9981241973925772,0.00019797515104036376,0.0,2.0,0.0,6.51,nan,1.5719391816819333,0.0,0.059859501248663245,0
40.73,0,1,1,-1.7060402413893172e-05,1.999222598529204,0.0006401577981019795,0.0013408300380770735,1.9981241973925772,0.00019797515104036376,0.0,2.0,0.0,6.51,nan,1.5719391816819333,0.0,0.059859501248663245,0
40.74,0,1,1,-1.7059020004928094e-05,1.999213535632067,0.001071438318466067,0.0013408215920761581,1.9980890341145927,0.0012986482671828448,0.0,2.0,0.0,6.51,nan,1.57083850011979,0.0,0.059859501248663245,0
