manoeuvre,contact,mean_n,min_n,max_n,samples,zero_samples,contact_ratio_percent
static,left_wheel,105.781,105.781,105.781,9999,0,100.000
static,right_wheel,160.885,160.885,160.886,9998,0,100.000
static,caster,133.334,133.333,133.334,9999,0,100.000
drive_right,left_wheel,105.620,104.721,106.049,7999,0,100.000
drive_right,right_wheel,160.712,159.534,161.155,8000,0,100.000
drive_right,caster,133.669,133.334,134.980,7999,0,100.000
drive_left,left_wheel,160.678,159.192,161.150,8000,0,100.000
drive_left,right_wheel,105.590,104.308,106.021,8000,0,100.000
drive_left,caster,133.732,133.601,135.641,8000,0,100.000
drive_up,left_wheel,115.426,114.634,115.986,7990,0,100.000
drive_up,right_wheel,115.348,113.668,115.797,7990,0,100.000
drive_up,caster,169.226,169.036,170.848,7991,0,100.000
drive_down,left_wheel,151.238,150.317,151.719,7990,0,100.000
drive_down,right_wheel,151.173,149.707,151.654,7990,0,100.000
drive_down,caster,97.588,97.402,99.165,7990,0,100.000
brake_from_down,left_wheel,151.391,151.221,152.057,2000,0,100.000
brake_from_down,right_wheel,151.401,151.249,152.063,2001,0,100.000
brake_from_down,caster,97.208,95.886,97.512,2001,0,100.000
turn_in_place,left_wheel,125.630,100.334,164.948,6001,0,100.000
turn_in_place,right_wheel,121.521,100.413,161.727,6001,0,100.000
turn_in_place,caster,152.849,122.659,169.291,6001,0,100.000
