manoeuvre,contact,mean_n,min_n,max_n,samples
static,left_wheel,45.779,45.779,45.780,41474
static,right_wheel,100.884,100.884,100.884,41474
static,caster,73.337,73.336,73.337,41474
drive_right,left_wheel,45.613,44.538,46.154,33191
drive_right,right_wheel,100.704,99.444,101.274,33191
drive_right,caster,73.683,73.337,74.995,33191
drive_left,left_wheel,100.670,99.018,101.199,33183
drive_left,right_wheel,45.586,44.244,46.090,33183
drive_left,caster,73.744,73.513,76.102,33183
drive_up,left_wheel,55.448,54.639,56.175,33180
drive_up,right_wheel,55.326,53.458,55.894,33180
drive_up,caster,109.226,108.934,110.901,33180
drive_down,left_wheel,91.238,90.344,92.037,33183
drive_down,right_wheel,91.174,89.295,91.824,33183
drive_down,caster,37.588,37.266,39.358,33183
brake_from_down,left_wheel,91.391,91.237,92.448,8299
brake_from_down,right_wheel,91.402,91.214,92.065,8299
brake_from_down,caster,37.208,35.858,37.512,8299
turn_in_place,left_wheel,66.064,40.312,104.990,24884
turn_in_place,right_wheel,61.185,40.406,101.411,24884
turn_in_place,caster,92.751,62.481,109.292,24884
