manoeuvre,contact,mean_n,min_n,max_n,samples
static,left_wheel,45.780,45.780,45.780,41472
static,right_wheel,100.885,100.884,100.885,41472
static,caster,73.335,73.335,73.336,41472
drive_right,left_wheel,45.619,44.603,46.154,33192
drive_right,right_wheel,100.711,99.508,101.263,33192
drive_right,caster,73.669,73.336,74.970,33192
drive_left,left_wheel,100.680,99.119,101.202,33160
drive_left,right_wheel,45.593,44.376,46.083,33160
drive_left,caster,73.727,73.524,75.802,33160
drive_up,left_wheel,55.458,54.793,56.300,33163
drive_up,right_wheel,55.315,53.232,55.927,33163
drive_up,caster,109.226,108.934,110.894,33163
drive_down,left_wheel,91.159,89.453,91.791,33161
drive_down,right_wheel,91.253,90.254,91.917,33161
drive_down,caster,37.588,37.358,39.297,33161
brake_from_down,left_wheel,91.368,91.191,92.031,8298
brake_from_down,right_wheel,91.424,91.272,92.087,8298
brake_from_down,caster,37.208,35.883,37.512,8298
turn_in_place,left_wheel,66.128,40.312,105.013,24857
turn_in_place,right_wheel,61.108,40.406,101.280,24857
turn_in_place,caster,92.764,62.388,109.292,24857
