manoeuvre,contact,mean_n,min_n,max_n,samples
static,left_wheel,27.952,27.951,27.952,41465
static,right_wheel,118.712,118.712,118.712,41465
static,caster,73.336,73.336,73.337,41465
drive_right,left_wheel,27.673,26.030,28.563,33188
drive_right,right_wheel,118.413,116.447,119.313,33188
drive_right,caster,73.915,73.337,76.000,33188
drive_left,left_wheel,118.331,115.664,119.206,33154
drive_left,right_wheel,27.601,25.466,28.445,33154
drive_left,caster,74.067,73.746,77.642,33154
drive_up,left_wheel,43.861,42.549,45.097,33161
drive_up,right_wheel,43.683,40.694,44.662,33161
drive_up,caster,132.456,131.980,135.149,33161
drive_down,left_wheel,102.718,99.628,103.797,33162
drive_down,right_wheel,102.836,101.501,104.149,33162
drive_down,caster,14.447,13.926,17.136,33162
brake_from_down,left_wheel,103.109,102.862,104.591,8299
brake_from_down,right_wheel,103.055,102.084,104.119,8299
brake_from_down,caster,13.836,11.712,14.325,8299
turn_in_place,left_wheel,61.396,18.941,125.479,24862
turn_in_place,right_wheel,53.241,19.094,119.424,24862
turn_in_place,caster,105.364,55.465,132.574,24862
