manoeuvre,category,heading_deg,contact,mean_n,min_n,max_n,samples,zero_samples,contact_ratio_percent
static_heading_000,static,0.000,left_wheel,92.102,92.102,92.102,2000,0,100.000
static_heading_000,static,0.000,right_wheel,174.564,174.564,174.564,2000,0,100.000
static_heading_000,static,0.000,caster,133.333,133.333,133.333,2001,0,100.000
static_heading_015,static,15.000,left_wheel,86.874,86.874,86.874,2000,0,100.000
static_heading_015,static,15.000,right_wheel,166.914,166.914,166.914,2000,0,100.000
static_heading_015,static,15.000,caster,146.212,146.212,146.212,1999,0,100.000
static_heading_030,static,30.000,left_wheel,84.290,84.290,84.290,2000,0,100.000
static_heading_030,static,30.000,right_wheel,156.366,156.366,156.366,2000,0,100.000
static_heading_030,static,30.000,caster,159.344,159.344,159.344,2000,0,100.000
static_heading_045,static,45.000,left_wheel,85.084,85.084,85.084,2000,0,100.000
static_heading_045,static,45.000,right_wheel,144.372,144.372,144.372,2000,0,100.000
static_heading_045,static,45.000,caster,170.544,170.544,170.544,2001,0,100.000
static_heading_060,static,60.000,left_wheel,89.166,89.166,89.166,2000,0,100.000
static_heading_060,static,60.000,right_wheel,131.592,131.592,131.592,2000,0,100.000
static_heading_060,static,60.000,caster,179.243,179.243,179.243,2000,0,100.000
static_heading_075,static,75.000,left_wheel,96.240,96.240,96.240,2000,0,100.000
static_heading_075,static,75.000,right_wheel,118.959,118.959,118.959,1999,0,100.000
static_heading_075,static,75.000,caster,184.800,184.800,184.800,1999,0,100.000
static_heading_090,static,90.000,left_wheel,105.744,105.744,105.744,2000,0,100.000
static_heading_090,static,90.000,right_wheel,107.395,107.395,107.395,2000,0,100.000
static_heading_090,static,90.000,caster,186.861,186.861,186.861,2000,0,100.000
static_heading_105,static,105.000,left_wheel,117.335,117.335,117.335,2000,0,100.000
static_heading_105,static,105.000,right_wheel,97.384,97.384,97.384,2000,0,100.000
static_heading_105,static,105.000,caster,185.282,185.282,185.282,2001,0,100.000
static_heading_120,static,120.000,left_wheel,129.946,129.946,129.946,2000,0,100.000
static_heading_120,static,120.000,right_wheel,89.914,89.914,89.914,2000,0,100.000
static_heading_120,static,120.000,caster,180.140,180.140,180.140,1999,0,100.000
static_heading_135,static,135.000,left_wheel,142.792,142.792,142.792,2000,0,100.000
static_heading_135,static,135.000,right_wheel,85.419,85.419,85.419,2000,0,100.000
static_heading_135,static,135.000,caster,171.789,171.789,171.789,1999,0,100.000
static_heading_150,static,150.000,left_wheel,154.877,154.877,154.877,2000,0,100.000
static_heading_150,static,150.000,right_wheel,84.204,84.204,84.204,2000,0,100.000
static_heading_150,static,150.000,caster,160.919,160.919,160.919,2001,0,100.000
static_heading_165,static,165.000,left_wheel,165.537,165.537,165.537,2000,0,100.000
static_heading_165,static,165.000,right_wheel,86.301,86.301,86.301,2000,0,100.000
static_heading_165,static,165.000,caster,148.162,148.162,148.162,2000,0,100.000
static_heading_180,static,180.000,left_wheel,174.051,174.051,174.051,2000,0,100.000
static_heading_180,static,180.000,right_wheel,91.603,91.603,91.604,2000,0,100.000
static_heading_180,static,180.000,caster,134.346,134.346,134.346,1999,0,100.000
static_heading_195,static,195.000,left_wheel,179.826,179.826,179.826,2000,0,100.000
static_heading_195,static,195.000,right_wheel,99.826,99.826,99.826,2000,0,100.000
static_heading_195,static,195.000,caster,120.348,120.348,120.348,2000,0,100.000
static_heading_210,static,210.000,left_wheel,182.367,182.367,182.367,2000,0,100.000
static_heading_210,static,210.000,right_wheel,110.177,110.177,110.177,2000,0,100.000
static_heading_210,static,210.000,caster,107.456,107.456,107.456,2000,0,100.000
static_heading_225,static,225.000,left_wheel,181.593,181.593,181.593,2000,0,100.000
static_heading_225,static,225.000,right_wheel,122.245,122.245,122.245,2000,0,100.000
