start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,height_m
99.713,30.0,30.228,2.173,-17.628,17.761,0.592,2.0
104.713,30.0,29.409,8.127,-28.771,29.897,0.9966,2.0
109.71,30.0,29.068,24.171,-57.895,62.738,2.0913,2.0
111.709,30.0,29.072,29.553,-65.755,72.091,2.403,2.0
113.709,30.0,29.061,32.84,-69.089,76.496,2.5499,2.0
115.712,30.0,29.08,33.456,-67.467,75.307,2.5102,2.0
119.708,30.0,29.058,27.489,-53.252,59.928,1.9976,2.0
124.711,30.0,29.723,12.017,-27.715,30.208,1.0069,2.0
-114.293,30.0,29.403,-8.725,-42.804,43.684,1.4561,2.0
-65.714,30.0,30.671,2.674,-15.602,15.829,0.5276,2.0
66.288,30.0,30.513,-0.483,-15.667,15.674,0.5225,2.0
100.285,30.0,30.17,2.573,-18.428,18.607,0.6202,1.4
104.713,30.0,29.409,8.127,-28.772,29.898,0.9966,1.4
109.71,30.0,29.068,24.171,-57.895,62.738,2.0913,1.4
111.71,30.0,29.072,29.554,-65.757,72.093,2.4031,1.4
113.709,30.0,29.061,32.84,-69.089,76.496,2.5499,1.4
115.712,30.0,29.08,33.456,-67.466,75.306,2.5102,1.4
119.708,30.0,29.058,27.489,-53.252,59.928,1.9976,1.4
124.711,30.0,29.722,12.018,-27.717,30.21,1.007,1.4
-114.293,30.0,29.403,-8.725,-42.804,43.684,1.4561,1.4
-65.714,30.0,30.671,2.674,-15.602,15.829,0.5276,1.4
66.288,30.0,30.513,-0.483,-15.667,15.674,0.5225,1.4
