start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
-179.714,30.0,30.074,0.295,-13.207,13.21,0.4403,1.9132
179.708,-30.0,-30.971,-0.99,-11.735,11.777,0.3926,1.9507
-165.286,30.0,30.189,0.087,-13.127,13.127,0.4376,1.9433
-165.291,-30.0,-30.961,-0.037,-12.017,12.017,0.4006,1.9448
-150.287,30.0,30.278,-0.035,-12.886,12.886,0.4295,1.9371
-150.292,-30.0,-30.958,0.853,-11.853,11.884,0.3961,1.9375
-135.293,30.0,30.357,0.259,-12.331,12.333,0.4111,1.9295
-135.289,-30.0,-30.887,0.311,-12.33,12.333,0.4111,1.9314
-120.288,30.0,30.428,0.217,-11.908,11.91,0.397,1.9261
-120.291,-30.0,-30.737,-0.217,-12.687,12.688,0.4229,1.9239
-105.29,30.0,30.512,0.008,-11.763,11.763,0.3921,1.9186
-105.291,-30.0,-30.638,0.03,-12.383,12.383,0.4128,1.9166
-90.29,30.0,30.58,-0.145,-11.948,11.948,0.3983,1.9135
-89.709,-30.0,-30.58,0.145,-11.948,11.948,0.3983,1.9125
-74.709,30.0,30.638,-0.03,-12.383,12.383,0.4128,1.9193
-74.709,-30.0,-30.512,-0.008,-11.763,11.763,0.3921,1.9192
-59.709,30.0,30.736,0.217,-12.686,12.688,0.4229,1.9228
-59.71,-30.0,-30.435,-0.217,-11.904,11.906,0.3969,1.9262
-44.712,30.0,30.887,-0.311,-12.33,12.334,0.4111,1.9306
-44.714,-30.0,-30.352,-0.259,-12.334,12.337,0.4112,1.9312
-29.707,30.0,30.958,-0.853,-11.853,11.884,0.3961,1.9372
-29.711,-30.0,-30.278,0.035,-12.886,12.886,0.4295,1.938
-14.708,30.0,30.961,0.037,-12.017,12.017,0.4006,1.9448
-14.712,-30.0,-30.189,-0.087,-13.127,13.127,0.4376,1.9434
0.29,30.0,30.945,0.989,-11.748,11.79,0.393,1.9518
0.293,-30.0,-30.069,-0.299,-13.207,13.21,0.4403,1.9509
15.289,30.0,30.737,0.422,-12.178,12.185,0.4062,1.9574
15.291,-30.0,-29.942,0.004,-13.172,13.172,0.4391,1.9551
30.29,30.0,30.647,-0.441,-12.816,12.824,0.4275,1.9647
30.291,-30.0,-29.971,0.279,-13.166,13.169,0.439,1.9521
45.287,30.0,30.581,0.027,-12.364,12.364,0.4121,1.9716
45.288,-30.0,-30.114,-0.339,-13.22,13.224,0.4408,1.9459
60.293,30.0,30.53,0.126,-11.952,11.953,0.3984,1.9779
60.292,-30.0,-30.235,-0.047,-12.885,12.885,0.4295,1.953
75.294,30.0,30.456,-0.021,-11.78,11.78,0.3927,1.9821
75.287,-30.0,-30.301,0.247,-12.339,12.342,0.4114,1.958
89.71,30.0,30.381,-0.211,-11.917,11.919,0.3973,1.9864
90.292,-30.0,-30.381,0.211,-11.917,11.919,0.3973,1.9628
104.708,30.0,30.305,-0.247,-12.336,12.339,0.4113,1.9728
105.288,-30.0,-30.45,0.013,-11.785,11.785,0.3928,1.949
119.707,30.0,30.235,0.047,-12.885,12.885,0.4295,1.9739
120.287,-30.0,-30.521,-0.128,-11.969,11.97,0.399,1.9495
134.714,30.0,30.114,0.339,-13.22,13.224,0.4408,1.9629
134.708,-30.0,-30.595,-0.027,-12.359,12.359,0.412,1.9709
149.709,30.0,29.971,-0.279,-13.166,13.169,0.439,1.9388
149.709,-30.0,-30.647,0.441,-12.816,12.824,0.4275,1.9628
164.711,30.0,29.943,-0.004,-13.172,13.172,0.4391,1.9483
164.712,-30.0,-30.737,-0.422,-12.178,12.186,0.4062,1.9577
