start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
179.713,30.0,30.22,-0.627,-15.033,15.046,0.5015,1.9018
179.706,-30.0,-30.677,-0.078,-14.078,14.078,0.4693,1.9335
-165.292,30.0,30.295,-0.614,-14.87,14.882,0.4961,1.9249
-165.289,-30.0,-30.818,-0.036,-13.81,13.81,0.4603,1.925
-150.288,30.0,30.334,0.148,-14.324,14.325,0.4775,1.9165
-150.293,-30.0,-30.797,-0.118,-14.214,14.215,0.4738,1.9163
-135.287,30.0,30.381,0.446,-13.648,13.655,0.4552,1.9119
-135.291,-30.0,-30.685,-0.333,-14.463,14.467,0.4822,1.909
-120.293,30.0,30.436,0.336,-13.114,13.118,0.4373,1.9059
-120.292,-30.0,-30.566,-0.113,-14.275,14.275,0.4758,1.9039
-105.287,30.0,30.47,0.005,-12.927,12.927,0.4309,1.8986
-105.285,-30.0,-30.536,0.311,-13.67,13.673,0.4558,1.8971
-90.29,30.0,30.518,-0.293,-13.128,13.131,0.4377,1.8924
-89.709,-30.0,-30.518,0.293,-13.128,13.131,0.4377,1.8921
-74.706,30.0,30.548,-0.31,-13.664,13.668,0.4556,1.8971
-74.712,-30.0,-30.47,-0.005,-12.927,12.927,0.4309,1.899
-59.708,30.0,30.566,0.113,-14.275,14.275,0.4758,1.9034
-59.706,-30.0,-30.436,-0.336,-13.114,13.118,0.4373,1.9045
-44.712,30.0,30.669,0.333,-14.47,14.474,0.4825,1.9093
-44.711,-30.0,-30.381,-0.446,-13.648,13.655,0.4552,1.9096
-29.714,30.0,30.778,0.123,-14.227,14.227,0.4742,1.9171
-29.71,-30.0,-30.334,-0.148,-14.324,14.325,0.4775,1.9164
-14.71,30.0,30.839,0.038,-13.799,13.799,0.46,1.9241
-14.714,-30.0,-30.29,0.613,-14.873,14.885,0.4962,1.9254
0.293,30.0,30.677,0.078,-14.078,14.078,0.4693,1.9327
0.287,-30.0,-30.22,0.627,-15.033,15.046,0.5015,1.9313
15.287,30.0,30.56,-0.731,-14.611,14.629,0.4876,1.9385
15.29,-30.0,-30.123,0.125,-14.98,14.981,0.4994,1.9403
30.287,30.0,30.541,-0.093,-14.25,14.25,0.475,1.9482
30.288,-30.0,-30.142,-1.038,-15.018,15.054,0.5018,1.9472
45.287,30.0,30.515,0.301,-13.642,13.645,0.4548,1.9553
45.287,-30.0,-30.264,-0.621,-14.874,14.887,0.4962,1.954
60.286,30.0,30.48,0.272,-13.139,13.142,0.4381,1.9616
60.286,-30.0,-30.304,0.137,-14.325,14.326,0.4775,1.956
75.286,30.0,30.439,-0.022,-12.947,12.947,0.4316,1.9691
75.286,-30.0,-30.349,0.434,-13.656,13.663,0.4554,1.9598
89.708,30.0,30.403,-0.33,-13.128,13.133,0.4378,1.9734
90.291,-30.0,-30.403,0.33,-13.128,13.133,0.4378,1.9474
104.706,30.0,30.355,-0.434,-13.651,13.658,0.4553,1.9667
104.712,-30.0,-30.439,0.022,-12.947,12.947,0.4316,1.9698
119.711,30.0,30.304,-0.137,-14.325,14.326,0.4775,1.9533
119.714,-30.0,-30.48,-0.272,-13.139,13.142,0.4381,1.9625
134.707,30.0,30.268,0.62,-14.871,14.884,0.4961,1.9494
134.706,-30.0,-30.526,-0.301,-13.637,13.64,0.4547,1.9554
149.706,30.0,30.143,1.036,-15.018,15.053,0.5018,1.9466
149.706,-30.0,-30.553,0.093,-14.244,14.244,0.4748,1.9469
164.714,30.0,30.123,-0.126,-14.98,14.981,0.4994,1.9384
164.706,-30.0,-30.573,0.732,-14.606,14.624,0.4875,1.9385
