start_heading_deg,commanded_deg,achieved_deg,horizontal_mm,vertical_mm,slide_mm,mm_per_deg,wall_height_m
-179.713,30.0,30.206,-0.537,-15.035,15.045,0.5015,1.902
179.711,-30.0,-30.689,-0.253,-13.982,13.984,0.4661,1.9337
-165.289,30.0,30.278,-0.599,-14.881,14.893,0.4964,1.925
-165.294,-30.0,-30.853,-0.038,-13.78,13.78,0.4593,1.9253
-150.293,30.0,30.33,0.159,-14.323,14.324,0.4775,1.9169
-150.289,-30.0,-30.794,-0.074,-14.188,14.189,0.473,1.9167
-135.291,30.0,30.381,0.452,-13.644,13.651,0.455,1.9095
-135.287,-30.0,-30.691,-0.25,-14.419,14.422,0.4807,1.9097
-120.288,30.0,30.424,0.338,-13.118,13.122,0.4374,1.9037
-120.287,-30.0,-30.563,-0.123,-14.279,14.279,0.476,1.9019
-105.292,30.0,30.481,0.005,-12.922,12.922,0.4307,1.8995
-105.289,-30.0,-30.543,0.306,-13.67,13.674,0.4558,1.8981
-90.293,30.0,30.522,-0.292,-13.129,13.132,0.4377,1.8907
-89.715,-30.0,-30.51,0.292,-13.134,13.137,0.4379,1.8905
-74.711,30.0,30.543,-0.306,-13.67,13.674,0.4558,1.8956
-74.708,-30.0,-30.481,-0.006,-12.922,12.922,0.4307,1.8976
-59.713,30.0,30.563,0.123,-14.279,14.279,0.476,1.9021
-59.711,-30.0,-30.424,-0.338,-13.118,13.123,0.4374,1.9033
-44.707,30.0,30.708,0.251,-14.412,14.415,0.4805,1.9082
-44.707,-30.0,-30.381,-0.452,-13.644,13.651,0.455,1.9115
-29.71,30.0,30.793,0.074,-14.188,14.188,0.4729,1.9163
-29.714,-30.0,-30.324,-0.159,-14.327,14.328,0.4776,1.9185
-14.713,30.0,30.832,0.037,-13.792,13.792,0.4597,1.9263
-14.709,-30.0,-30.281,0.599,-14.877,14.889,0.4963,1.9247
0.288,30.0,30.688,0.253,-13.981,13.984,0.4661,1.9323
0.291,-30.0,-30.205,0.531,-15.035,15.045,0.5015,1.9309
15.29,30.0,30.586,-0.596,-14.532,14.544,0.4848,1.9411
15.292,-30.0,-30.095,0.128,-14.976,14.976,0.4992,1.9401
30.289,30.0,30.548,-0.102,-14.247,14.247,0.4749,1.9481
30.291,-30.0,-30.12,-0.917,-15.024,15.052,0.5017,1.9471
45.289,30.0,30.519,0.296,-13.642,13.645,0.4548,1.9553
45.288,-30.0,-30.25,-0.606,-14.881,14.893,0.4964,1.9539
60.288,30.0,30.481,0.271,-13.139,13.142,0.4381,1.9617
60.287,-30.0,-30.292,0.148,-14.328,14.328,0.4776,1.956
75.287,30.0,30.437,-0.022,-12.947,12.947,0.4316,1.9691
75.286,-30.0,-30.34,0.44,-13.655,13.663,0.4554,1.9599
89.708,30.0,30.397,-0.332,-13.127,13.132,0.4377,1.9734
90.291,-30.0,-30.397,0.332,-13.127,13.132,0.4377,1.9474
104.706,30.0,30.346,-0.44,-13.651,13.658,0.4553,1.9667
104.711,-30.0,-30.437,0.022,-12.947,12.947,0.4316,1.9698
119.71,30.0,30.296,-0.148,-14.324,14.324,0.4775,1.9534
119.713,-30.0,-30.48,-0.271,-13.139,13.142,0.4381,1.9626
134.714,30.0,30.25,0.606,-14.881,14.893,0.4964,1.9449
134.712,-30.0,-30.519,-0.296,-13.642,13.645,0.4548,1.9566
149.713,30.0,30.118,0.92,-15.024,15.052,0.5017,1.9479
149.713,-30.0,-30.548,0.102,-14.247,14.247,0.4749,1.9482
164.711,30.0,30.094,-0.13,-14.975,14.976,0.4992,1.9397
164.712,-30.0,-30.573,0.595,-14.538,14.55,0.485,1.9399
