phase,time_s,forward_m,up_m,yaw_deg
static,0.000000,0.000000,0.000000,0.002735
static,0.030000,0.000000,0.000000,0.002735
static,0.030000,0.000000,0.000000,0.002735
static,0.040000,0.000000,0.000000,0.002735
static,0.040000,0.000000,0.000000,0.002735
static,0.050000,0.000000,0.000000,0.002735
static,0.050000,0.000000,0.000000,0.002735
static,0.060000,0.000000,0.000000,0.002735
static,0.060000,0.000000,0.000000,0.002735
static,0.060000,0.000000,0.000000,0.002735
static,0.070000,0.000000,0.000000,0.002735
static,0.070000,0.000000,0.000000,0.002735
static,0.080000,0.000000,0.000000,0.002735
static,0.080000,0.000000,0.000000,0.002735
static,0.090000,0.000000,0.000000,0.002735
static,0.090000,0.000000,0.000000,0.002735
static,0.090000,0.000000,0.000000,0.002735
static,0.100000,0.000000,0.000000,0.002735
static,0.100000,0.000000,0.000000,0.002735
static,0.110000,0.000000,0.000000,0.002735
static,0.110000,0.000000,0.000000,0.002735
static,0.120000,0.000000,0.000000,0.002735
static,0.120000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.130000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.140000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.150000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.160000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.170000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.180000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.190000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.200000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.210000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.220000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.230000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.240000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.250000,0.000000,0.000000,0.002735
static,0.260000,0.000000,0.000000,0.002735
static,0.260000,0.000000,0.000000,0.002735
static,0.260000,0.000000,0.000000,0.002735
